Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,headline,article_time,subheaders
2024-07-09 00:00:00-04:00,556.260009765625,557.1799926757812,555.52001953125,555.8200073242188,27289700,0.0,0.0,0.0,"S&P 500 Tops 5,600 Mark in Longest Rally This Year: Markets Wrap","July 10, 2024 at 6:36 AM GMT+8","['Powell does little to alter Wall Street bets on Fed rate cuts', 'Traders also getting ready for Thursday’s key inflation data']"
2024-07-10 00:00:00-04:00,557.0700073242188,561.6699829101562,556.77001953125,561.3200073242188,38701200,0.0,0.0,0.0,Stock Rotation Hits Megacaps on Bets Fed Will Cut: Markets Wrap,"July 11, 2024 at 6:35 AM GMT+8","['Inflation broadly cools, bolstering bets on US policy easing', 'Russell 2000 beats Nasdaq 100 by the most since November 2020']"
2024-07-11 00:00:00-04:00,561.4400024414062,562.3300170898438,555.8300170898438,556.47998046875,53054200,0.0,0.0,0.0,S&P 500 Rebound Leaves Big Banks Out on Earnings: Markets Wrap,"July 12, 2024 at 6:31 AM GMT+8","['Consumer sentiment falls to eight-month low, inflation eases', 'Producer prices rise slightly more than forecast on margins']"
2024-07-12 00:00:00-04:00,557.6300048828125,563.6699829101562,557.1500244140625,559.989990234375,53084400,0.0,0.0,0.0,,,
2024-07-15 00:00:00-04:00,562.030029296875,564.8400268554688,559.6300048828125,561.530029296875,40584300,0.0,0.0,0.0,S&P 500’s $18 Trillion Rally Is ‘Broadening Out’: Markets Wrap,"July 16, 2024 at 7:03 AM GMT+8","['Russell 2000 beats tech-heavy Nasdaq 100 by most in decade', 'American equity benchmark posts its 38th record this year']"
2024-07-16 00:00:00-04:00,562.8699951171875,565.1599731445312,562.0999755859375,564.8599853515625,36475300,0.0,0.0,0.0,High-Flying Chipmakers See Worst Plunge Since 2020: Markets Wrap,"July 17, 2024 at 6:13 AM GMT+8","['US floats tougher trade rules to rein in China chip industry', 'Beige Book shows slight economic growth, cooling inflation']"
2024-07-17 00:00:00-04:00,558.7999877929688,560.510009765625,556.6099853515625,556.9400024414062,57119000,0.0,0.0,0.0,Wall Street’s ‘Great Rotation Trade’ Takes a Break: Markets Wrap,"July 18, 2024 at 6:17 AM GMT+8","['Small caps get hit with almost 2% slide after stellar rally', 'Initial jobless claims show further cooling in US labor market']"
2024-07-18 00:00:00-04:00,558.510009765625,559.52001953125,550.4299926757812,552.6599731445312,56270400,0.0,0.0,0.0,Stocks Slide Before High-Stakes Megacap Earnings: Markets Wrap,"July 19, 2024 at 6:41 AM GMT+8","['Tech results coming at a critical moment for Wall Street', 'The S&P 500 suffers its biggest weekly decline since April']"
2024-07-19 00:00:00-04:00,552.4199829101562,554.0800170898438,547.9099731445312,548.989990234375,65509100,0.0,0.0,0.0,,,
2024-07-22 00:00:00-04:00,553.0,555.27001953125,551.02001953125,554.6500244140625,43346700,0.0,0.0,0.0,Tech Falls in Late Hours as Earnings Underwhelm: Markets Wrap,"July 23, 2024 at 6:22 AM GMT+8","['Tesla shares slide after profit miss, Robotaxi event delay', 'Alphabet retreats as its chief signals patience needed']"
2024-07-23 00:00:00-04:00,554.5399780273438,556.739990234375,553.280029296875,553.780029296875,34439600,0.0,0.0,0.0,Stocks Tumble as Wall Street Gets AI Wake-Up Call: Markets Wrap,"July 24, 2024 at 7:18 AM GMT+8","['S&P 500 snaps longest streak without a 2% decline since 2007', 'Treasury curve steepens on bets Fed close to cutting rates']"
2024-07-24 00:00:00-04:00,548.8599853515625,549.1699829101562,540.2899780273438,541.22998046875,74515300,0.0,0.0,0.0,Stocks Caught in Tug of War Between Tech and Rest: Markets Wrap,"July 25, 2024 at 6:35 AM GMT+8","['Economy grows faster than expected amid solid demand', 'Small caps up almost 10% this month, beating tech megacaps']"
