,omega,alpha,beta,gamma,x,sample,omega_wo_exo,alpha_wo_exo,beta_wo_exo,omega_with_exo,alpha_with_exo,beta_with_exo,gamma_with_exo,without_exo_MSE,with_exo_MSE,without_exo_logll,with_exo_logll,without_exo_opt_suc,with_exo_opt_suc
52,0,0.15,0.8,0.45,"[[0.04], []]",2,0.49097477966740255,0.18633837751061214,0.7583526276489194,0.15626523712840087,0.1803828634248842,0.7733316900090957,0.29158476919650056,2.184531598451833,1.1931657250528505,-2899.4492321854204,-2896.3462235824068,True,True
53,0,0.15,0.8,0.45,"[[0.04], []]",3,0.47546243420313894,0.1745683123168555,0.7721042243610504,1.8886671301038227e-05,0.18317437550683738,0.7682081312613068,0.4763239762531131,2.075587291793715,2.27597343237454,-2923.802364668193,-2914.0980099921694,True,True
54,0,0.15,0.8,0.45,"[[0.04], []]",4,0.323451681810927,0.13760240111559224,0.8111943104479139,1.1002900620583492e-05,0.12019610594325088,0.810066870699155,0.4439269856757835,1.5117420388653113,0.8954210124090347,-2717.058723331963,-2703.511306065701,True,True
55,0,0.15,0.8,0.45,"[[0.04], []]",5,0.4007860809787647,0.1852071133380476,0.7708502512571708,0.11995669341864532,0.18285269475403593,0.7763878042666942,0.29597202555722935,1.9036281175947072,1.2076551427079505,-2898.2171819352197,-2894.2898971782856,True,True
56,0,0.15,0.8,0.45,"[[0.04], []]",6,0.3278208953236271,0.10275173399237704,0.8477490786700835,7.259184115104008e-06,0.0988224661888259,0.837957357219511,0.46151830770838986,2.095941871242715,1.2173072627474593,-2784.5979244166947,-2772.0186476566396,True,True
57,0,0.15,0.8,0.45,"[[0.04], []]",7,0.32715845175267655,0.11488470380367427,0.8429649363545676,0.06838011535011247,0.11616981689622739,0.8451885559437887,0.27421936912281764,2.0851211281460555,0.9553401976703401,-2884.748838027951,-2880.08700666178,True,True
58,0,0.15,0.8,0.45,"[[0.04], []]",8,0.42712824290452195,0.1374536875633103,0.8121626418377785,0.03941208665255911,0.12812510061718058,0.8072577848054084,0.4810964664139061,1.456058981186825,0.8809523519122087,-2883.633535004985,-2874.6697717116617,True,True
59,0,0.15,0.8,0.45,"[[0.04], []]",9,0.3714525160010594,0.14801058284057103,0.8147833013471555,6.754768660252414e-07,0.13543490860351015,0.8228189369712092,0.4021832556242659,1.645778521912723,0.4409391757822326,-2946.3423774234107,-2936.2735551094233,True,True
60,0,0.15,0.8,0.45,"[[0.04], []]",10,0.3903632287707439,0.11615830835956133,0.8208691895807548,2.80641523304848e-05,0.11751536957217427,0.8178278531861856,0.4526637020261988,1.7956285131497713,0.6877825339196649,-2747.161601277665,-2735.306017171168,True,True
61,0,0.15,0.8,0.45,"[[0.04], []]",11,0.4670760359790119,0.1561292566795038,0.7944188712281289,0.061484510089451785,0.16014832952128344,0.7854511540507708,0.47483337538435466,1.2207224334448477,0.2732761302448224,-2953.861485583732,-2946.0512806230186,True,True
62,0,0.15,0.8,0.45,"[[0.04], []]",12,0.4984835569710974,0.15364225314603328,0.7824711165768534,8.435599147899308e-06,0.12802931547382582,0.7993880373363667,0.5256910595894414,1.4427671436345808,1.0696363423010897,-2849.26330326393,-2833.5895915347564,True,True
63,0,0.15,0.8,0.45,"[[0.04], []]",13,0.3523006435726781,0.15935669681052553,0.7975617103883982,0.04839853424229316,0.14940019574043287,0.8084351587281418,0.3155112052958388,1.110800164302202,0.20388583154857506,-2826.889957644644,-2822.6220806186293,True,True
64,0,0.15,0.8,0.45,"[[0.04], []]",14,0.6001704692181853,0.18808431012384624,0.7468844810600077,0.1888965642101646,0.18893464025949938,0.7530606942601781,0.3695671356152841,2.414605831607287,1.5106437577893483,-2928.3740599310586,-2923.573662952326,True,True
65,0,0.15,0.8,0.45,"[[0.04], []]",15,0.45723509389020656,0.19669886189925923,0.7537862335648161,4.537163808523453e-06,0.1793457006700015,0.7751418726191186,0.43047136581970047,2.045247773788623,0.598114317698191,-2888.4328522829273,-2874.7389846550223,True,True
66,0,0.15,0.8,0.45,"[[0.04], []]",16,0.5990278609570204,0.21157163656473205,0.7445305599601605,8.985551288122806e-05,0.2259117068676169,0.7355262232803804,0.6904147964490533,7.210970827961135,10.296008764606713,-3086.631586486731,-3076.7842200094924,True,True
